날짜,종가,시가,고가,저가,거래량,변동 %,일간수익률,누적수익률,5일이동평균,20일이동평균,60일이동평균,연환산변동성,고점,낙폭
2002-11-06,923.8,915.4,925.7,905.0,,0.92,0.009176316364430726,-0.3651731720725655,906.8799999999999,882.45,880.2616666666667,0.2535825036957578,1527.5,-0.3952209492635025
2002-11-07,902.6,923.8,923.8,898.7,,-2.29,-0.02294869019268231,-0.37974161627267544,910.24,887.385,879.9783333333332,0.2545541836366399,1527.5,-0.4090998363338789
2002-11-08,894.7,902.6,910.1,891.6,,-0.88,-0.008752492798581812,-0.3851704233095088,908.9799999999999,890.3550000000001,879.3866666666668,0.2546612669518876,1527.5,-0.41427168576104745
2002-11-11,876.2,894.7,894.7,874.6,,-2.07,-0.02067732200737682,-0.3978834524463972,902.54,892.0949999999999,878.51,0.2554273325210651,1527.5,-0.42638297872340425
2002-11-12,883.0,876.2,894.3,876.2,,0.78,0.007760785208856369,-0.3932105552501356,896.0600000000001,892.18,877.3816666666667,0.2555704423641453,1527.5,-0.4219312602291325
2002-11-13,882.5,883.0,892.5,872.0,,-0.06,-0.0005662514156284937,-0.39355415063221366,887.8,893.305,876.4666666666667,0.25482674968545793,1527.5,-0.42225859247135844
2002-11-14,904.3,882.5,904.3,882.5,,2.47,0.024702549575070787,-0.37857339197361006,888.14,894.5600000000001,875.715,0.25609455803785325,1527.5,-0.407986906710311
2002-11-15,909.8,904.3,910.2,895.4,,0.61,0.006082052416233497,-0.37479384277075134,891.1600000000001,895.8300000000002,874.8333333333334,0.2561815366473373,1527.5,-0.40438625204582657
2002-11-18,900.4,909.8,915.9,899.5,,-1.03,-0.010331941085952923,-0.381253435953819,896.0,895.865,874.1583333333333,0.2563498281561391,1527.5,-0.41054009819967263
2002-11-19,896.7,900.4,905.5,893.1,,-0.41,-0.004109284762327747,-0.38379604178119664,898.74,896.1899999999999,873.3033333333333,0.25610170483314565,1527.5,-0.412962356792144
2002-11-20,914.1,896.7,915.0,894.9,,1.94,0.01940448310471732,-0.37183892248487993,905.0600000000001,897.0900000000001,872.9583333333334,0.25681900531084717,1527.5,-0.4015711947626841
2002-11-21,933.8,914.1,935.1,914.1,,2.16,0.021551252598184023,-0.3583012644310041,910.96,899.6550000000001,873.2233333333334,0.25774945597830623,1527.5,-0.3886743044189853
2002-11-22,930.5,933.8,937.3,928.4,,-0.35,-0.00353394731205825,-0.36056899395271935,915.1,901.3,873.435,0.257466765725435,1527.5,-0.39083469721767594
2002-11-25,932.9,930.5,937.1,923.3,,0.26,0.002579258463191847,-0.3589197361187446,921.6,903.4349999999998,873.715,0.2573953904216613,1527.5,-0.38926350245499186
